miRNA,normal_mean,tumor_mean,log2FC,pvalue,stat,padj
MIMAT0000085,7.626816326530612,7.191617250673854,-0.08476471597970914,1.2898198089808725e-09,6.068659871047048,
MIMAT0000086,13.522448979591834,12.643598382749325,-0.09694933955717522,2.1420724566242174e-13,7.339616183667032,
MIMAT0000087,14.404285714285715,13.791479784366578,-0.06272085930672677,1.206847760424252e-05,4.3763471060165955,
MIMAT0000088,13.19265306122449,11.659067385444745,-0.17828233051772324,1.42039697655458e-19,9.050711554302705,
MIMAT0000089,0.5288653846153847,0.9031510869565217,0.7720668034950782,,,
MIMAT0000090,5.956489795918367,6.030425876010781,0.017797500501643082,0.6868011484913848,-0.4031999336587536,
MIMAT0000091,5.519673469387755,4.781876010781671,-0.20700620024935468,2.5420942961471234e-07,5.154573064926271,
MIMAT0000092,13.952448979591837,14.17088948787062,0.022411946300979757,0.09373143378452953,-1.67603450683926,
MIMAT0000093,11.027081632653061,12.447169811320753,0.17476671960257395,2.9658505411507093e-21,-9.463928877617576,
MIMAT0000094,2.669387755102041,2.6594798365122614,-0.00536478763666115,,,
MIMAT0000095,1.0760553191489362,3.042526628895184,1.4995176421874314,,,
MIMAT0000096,5.722061224489796,5.662614555256065,-0.015066602867593648,0.5829518053039795,0.5490781705259735,
MIMAT0000097,10.682795918367347,9.15812398921833,-0.2221652783982888,4.180564391199249e-17,8.407720355750625,
MIMAT0000098,12.963469387755103,12.174037735849057,-0.09064413267240701,6.069656027851239e-05,4.0100862967147775,
MIMAT0000099,15.506734693877553,14.022695417789757,-0.1451312368280564,3.330859659247908e-24,10.14949398220816,
MIMAT0000100,9.454857142857142,9.102280323450135,-0.05482764234245163,0.016292552168669733,2.402295256907822,
MIMAT0000101,13.917142857142858,14.693342318059297,0.07829954425061691,8.956687932620953e-14,-7.455442251565898,
MIMAT0000102,0.43041999999999997,3.0277034749034746,2.8144068974064713,,,
MIMAT0000103,3.5948979591836734,3.2076013477088954,-0.1644559709133322,0.00012535599129536118,3.8354080645862183,
MIMAT0000104,6.837775510204081,7.070932614555256,0.04837345191820752,0.009717056284101208,-2.585738704985485,
MIMAT0000222,15.616326530612247,15.110018867924529,-0.04754966245481729,0.00016635832875870426,3.7652863369933915,
MIMAT0000226,0.8597733333333335,1.7972880794701989,1.0637934010762142,,,
MIMAT0000227,8.548204081632653,8.292997304582212,-0.043727728190710025,0.0022530245506954326,3.0546777582625135,
MIMAT0000228,0.258,0.354,0.456378294659743,,,
MIMAT0000231,10.047510204081632,8.09267385444744,-0.31214968335943816,3.06725827789905e-12,6.974607548072228,
MIMAT0000232,11.297755102040817,8.978754716981133,-0.3314488598281784,2.003790980223247e-18,8.757076820007743,
MIMAT0000242,0.8639818181818182,1.0440408637873755,0.27310532269762583,,,
MIMAT0000243,17.133061224489797,16.379514824797845,-0.06489032211154466,8.632619136098575e-09,5.755616444293357,
MIMAT0000244,9.74095918367347,9.307832884097035,-0.06561853185973066,1.6842862937532523e-05,4.303094944156232,
MIMAT0000245,12.922244897959182,13.641051212938006,0.0780981043970268,1.4865741530600794e-10,-6.406746771941034,
MIMAT0000250,8.511775510204082,6.41888140161725,-0.40713819636333826,5.963644763705947e-25,10.316033085241124,
MIMAT0000252,0.5573268292682927,0.8376650943396224,0.5878499521232796,,,
MIMAT0000253,14.786122448979592,13.295649595687332,-0.15328950018582077,4.675922925667272e-17,8.39457253182697,
MIMAT0000254,10.524244897959184,13.430369272237195,0.351782247312209,7.007106305129779e-19,-8.87478114846713,
MIMAT0000255,7.266530612244898,8.312619946091644,0.19403653565774714,4.568151112208015e-13,-7.2375640265453285,
MIMAT0000256,9.562122448979592,9.830132075471697,0.039879920006881786,0.0061602012834964205,-2.7391299840947934,
MIMAT0000257,7.0345306122448985,7.5268706199460915,0.09759601200444878,3.7738920684444614e-05,-4.1209036697855845,
MIMAT0000258,3.7713061224489794,3.793433962264151,0.00844016197791353,0.8046727256888565,-0.24730430713541565,
MIMAT0000259,9.976755102040816,11.953838274932615,0.26083136316988753,3.5185151585326747e-10,-6.274016358997469,
MIMAT0000260,0.31,0.31472542372881357,0.021825509708085278,,,
MIMAT0000261,8.067428571428572,10.405946091644203,0.36722733417773146,4.620516712973452e-11,-6.582677177776608,
MIMAT0000262,2.3213795918367346,1.556414236111111,-0.5767563699344058,,,
MIMAT0000263,3.352,3.2670837988826817,-0.037018689461165266,,,
MIMAT0000264,10.163530612244898,8.825048517520216,-0.2037255382567631,0.0013986901761463978,3.194921213448167,
MIMAT0000265,4.912877551020408,4.424139189189189,-0.1511715063283483,,,
MIMAT0000266,1.2562125000000002,1.8195227488151657,0.5344795586458622,,,
MIMAT0000267,8.293469387755103,8.100983827493263,-0.03387861988880214,0.17131214656304228,1.3679997749136283,
MIMAT0000268,0.8589405405405406,1.063190186915888,0.3077695233883155,,,
MIMAT0000269,2.2083551020408163,2.0119040650406506,-0.13441066138200708,,,
MIMAT0000270,6.811693877551021,6.652940700808625,-0.034021426010341305,0.37566446542984155,0.8859128977129447,
MIMAT0000271,3.2366734693877555,1.7091094395280235,-0.9212670469623084,,,
